"max(temperature)"
900
899.78
897.25
892.97
887.86
882.39
876.78
871.13
865.51
859.94
854.45
849.03
843.69
838.42
833.24
828.13
823.09
818.13
813.23
808.4
803.63
798.93
794.28
789.69
785.16
780.68
776.25
771.87
767.54
763.26
759.02
754.83
750.68
746.58
742.52
738.49
734.51
730.57
726.66
722.79
718.95
715.15
711.39
707.66
703.96
700.29
696.66
693.05
689.48
685.93
682.42
678.93
675.48
672.05
668.64
665.27
661.92
658.6
655.3
652.03
648.78
645.55
642.36
639.18
636.03
632.9
629.79
626.71
623.65
620.6
617.59
614.59
611.61
608.66
605.72
602.8
599.91
597.03
594.18
591.34
588.52
585.72
582.94
580.18
577.44
574.71
572
569.31
566.64
563.99
561.35
558.73
556.12
553.53
550.96
548.41
545.87
543.34
540.84
538.35
536.12
