"max(temperature)"
900.02
884.72
845.25
810.09
779.51
751.96
726.78
704.01
683.4
664.58
647.22
631.01
615.72
601.26
587.6
574.69
562.44
550.71
539.35
528.22
517.22
506.31
495.58
485.22
475.47
466.43
458
450
442.26
434.56
426.79
418.91
410.98
403.15
395.52
388.18
381.23
374.66
368.42
362.43
356.6
350.82
345.03
339.19
333.37
327.63
322.05
316.69
311.57
306.68
302
297.48
293.06
288.71
284.38
280.09
275.84
271.69
267.66
263.77
260.03
256.44
253
249.68
246.43
243.22
240.04
236.88
233.75
230.67
227.67
224.75
221.91
219.17
216.49
213.88
211.32
208.78
206.28
203.81
201.39
199.02
196.72
194.48
192.32
190.22
188.17
186.15
184.17
182.21
180.25
178.32
176.43
174.58
172.77
171.03
169.35
167.73
166.14
164.59
163.2
